WorkerID,Img1,Img2,Img3,Img4,Img5,Img6,Img7,Img8,NegImg1,NegImg2,Rank1,Rank2,Rank3,Rank4,Rank5,Rank6,Rank7,Rank8,Rank9,Rank10
1,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10
2,1,2,3,4,5,6,7,8,9,10,1,2,4,3,6,5,8,7,10,9
3,1,2,3,4,5,6,7,8,9,10,1,3,4,2,5,6,8,7,10,9
4,1,2,3,4,5,6,7,8,9,10,2,3,4,1,6,7,5,8,9,10
5,1,2,3,4,5,6,7,8,9,10,2,3,5,1,4,6,7,8,9,10
6,1,2,3,4,5,6,7,8,9,10,2,4,5,1,3,8,6,7,9,10
7,1,2,3,4,5,6,7,8,9,10,1,3,5,2,4,7,6,8,10,9
8,1,2,3,4,5,6,7,8,9,10,1,3,4,2,5,6,7,8,9,10
9,1,2,3,4,5,6,7,8,9,10,3,4,5,1,2,8,6,7,10,9
10,1,2,3,4,5,6,7,8,9,10,1,6,9,2,3,4,5,10,8,9
