StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q3,Random ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your MTurk Worker ID in order to be paid.You may find your ID in the upper left corner of the MTurk web page.,Select the best three (3) images. Please wait for ALL images to load before selecting the best photos.,Random ID
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""Random ID""}"
5/5/19 18:24,5/5/19 18:25,IP Address,24.112.189.233,100,88,TRUE,5/5/19 18:25,R_1in8KhJZgeyr7ee,,,,,39.27909851,-81.00189972,anonymous,EN,A1XHFQKX09Y1RD,"img12	,img36	,img37	",475238
5/5/19 18:39,5/5/19 18:41,IP Address,128.54.224.52,100,105,TRUE,5/5/19 18:41,R_1FeQFUUGGdmIanJ,,,,,32.84869385,-117.2767029,anonymous,EN,A1J0GDMZD9DI3P,"img1 ,img2	,img17	",281527
5/5/19 19:30,5/5/19 19:31,IP Address,157.46.79.51,100,44,TRUE,5/5/19 19:31,R_vqyQ1atpXWCK8ud,,,,,10.99099731,76.96670532,anonymous,EN,A1G4QDVYGHSQCY,"img9	,img11	,img30	",984086
5/5/19 19:38,5/5/19 19:40,IP Address,87.192.247.65,100,88,TRUE,5/5/19 19:40,R_xFzUCb7ZEbXabQt,,,,,53.51669312,-8.850006104,anonymous,EN,AR8NJPVR13ULD,"img8	,img24	,img25	",594279
5/5/19 19:41,5/5/19 19:43,IP Address,8.35.121.188,100,140,TRUE,5/5/19 19:43,R_1rvIJ7juYwhySSl,,,,,39.79139709,-95.60040283,anonymous,EN,A3GJPHFUCNBO8J,"img13	,img35	,img43	",636792
5/5/19 19:44,5/5/19 19:44,IP Address,93.36.193.6,100,42,TRUE,5/5/19 19:44,R_1OiWYgx5Dqg5xhQ,,,,,41.89039612,12.5124054,anonymous,EN,AHOHKLO0YSGNI,"img12	,img20	,img23	",244253
5/5/19 19:46,5/5/19 19:47,IP Address,99.234.201.146,100,53,TRUE,5/5/19 19:47,R_2w4gR9UXXeHMkiF,,,,,43.76269531,-79.76059723,anonymous,EN,A1KVE1E8ZON2F7,"img14	,img29	,img35	",434090
5/5/19 19:48,5/5/19 19:49,IP Address,47.148.181.73,100,45,TRUE,5/5/19 19:49,R_6FpKv2Coa5BOu5j,,,,,34.03489685,-117.6184998,anonymous,EN,AU04NHNF2WGMK,"img6	,img11	,img44	",678287
5/5/19 19:51,5/5/19 19:53,IP Address,64.134.68.72,100,156,TRUE,5/5/19 19:53,R_2tpvRkNXQx1CgRb,,,,,47.89770508,-97.03939819,anonymous,EN,A1S7R2Z9GZJZ0Y,"img10	,img19	,img32	",925678
5/5/19 20:01,5/5/19 20:02,IP Address,73.51.198.48,100,35,TRUE,5/5/19 20:02,R_2xz2ZxxuD0ytxa0,,,,,41.87190247,-87.6588974,anonymous,EN,A2P791EA88YGSV,"img1 ,img9	,img21	",650892
5/5/19 20:02,5/5/19 20:03,IP Address,179.235.0.126,100,92,TRUE,5/5/19 20:03,R_ai79ciJeLAYUGyZ,,,,,-22.26350403,-49.13639832,anonymous,EN,A1DHL4XO3VT7TR,"img4	,img11	,img13	",879581
5/5/19 20:54,5/5/19 20:56,IP Address,76.92.65.114,100,82,TRUE,5/5/19 20:56,R_8ozSFZPPPOqYoOB,,,,,39.4940033,-80.2220993,anonymous,EN,A28WTW360AS5T2,"img6	,img24	,img37	",431955
5/5/19 20:58,5/5/19 20:59,IP Address,47.204.197.117,100,97,TRUE,5/5/19 20:59,R_78wtcSZxdOUjPd7,,,,,28.23109436,-82.20570374,anonymous,EN,A2OM1SE5CGZ0ZK,"img2	,img17	,img33	",282984
5/5/19 20:59,5/5/19 21:01,IP Address,24.217.255.165,100,114,TRUE,5/5/19 21:01,R_PzYHzasuyl0csLf,,,,,38.80400085,-90.85340118,anonymous,EN,AS11VPZ1QAEQB,"img3	,img25	,img32	",285000
5/5/19 21:05,5/5/19 21:05,IP Address,98.167.38.79,100,31,TRUE,5/5/19 21:05,R_1HoVa6ArwmAOFg5,,,,,36.03829956,-115.1445999,anonymous,EN,ANV640E4FJ9HJ,"img22	,img27	,img30	",852552
