StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q3,Random ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your MTurk Worker ID in order to be paid.You may find your ID in the upper left corner of the MTurk web page.,Select the best three (3) images. Please wait for ALL images to load before selecting the best photos.,Random ID
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""Random ID""}"
2019-05-05 18:17:59,2019-05-05 18:19:09,IP Address,107.210.117.131,100,69,True,2019-05-05 18:19:09,R_1fm9Fqq9NlMftEs,,,,,35.4739990234375,-80.87290191650390625,anonymous,EN,A1EAC73GJQSBSF,"img3	,img14	,img15	",933692
2019-05-05 19:20:35,2019-05-05 19:21:33,IP Address,157.46.103.77,100,57,True,2019-05-05 19:21:34,R_3D233BAl7IwiftQ,,,,,10.990997314453125,76.966705322265625,anonymous,EN,A1G4QDVYGHSQCY,"img2	,img4	,img39	",755777
2019-05-05 19:37:14,2019-05-05 19:38:48,IP Address,104.169.70.92,100,93,True,2019-05-05 19:38:48,R_5vapmQHa18YVP9L,,,,,39.7467041015625,-81.51529693603515625,anonymous,EN,A1D4I1QYL9713I,"img9	,img33	,img40	",193106
2019-05-05 19:43:08,2019-05-05 19:43:45,IP Address,93.36.193.6,100,37,True,2019-05-05 19:43:45,R_1r6x9MRWKV0QvfH,,,,,41.8903961181640625,12.5124053955078125,anonymous,EN,AHOHKLO0YSGNI,"img24	,img34	,img44	",873199
2019-05-05 19:44:01,2019-05-05 19:44:51,IP Address,87.192.247.65,100,50,True,2019-05-05 19:44:52,R_2TLFTVqUPyixRNX,,,,,53.516693115234375,-8.850006103515625,anonymous,EN,AR8NJPVR13ULD,"img16	,img27	,img33	",443588
2019-05-05 19:44:23,2019-05-05 19:45:14,IP Address,47.148.181.73,100,50,True,2019-05-05 19:45:14,R_1NkMP2vntB5LM9b,,,,,34.0348968505859375,-117.618499755859375,anonymous,EN,AU04NHNF2WGMK,"img24	,img34	,img41	",569800
2019-05-05 19:47:43,2019-05-05 19:48:25,IP Address,99.234.201.146,100,41,True,2019-05-05 19:48:25,R_abLKUdfEn67dbxL,,,,,43.7626953125,-79.76059722900390625,anonymous,EN,A1KVE1E8ZON2F7,"img6	,img32	,img44	",551152
2019-05-05 19:57:21,2019-05-05 19:57:50,IP Address,64.134.68.72,100,29,True,2019-05-05 19:57:51,R_3My6V2GwNBQbwEf,,,,,47.897705078125,-97.039398193359375,anonymous,EN,A1S7R2Z9GZJZ0Y,"img21	,img30	,img35	",975526
2019-05-05 20:12:31,2019-05-05 20:14:13,IP Address,179.235.0.126,100,102,True,2019-05-05 20:14:13,R_3nIpkTN4OSfafy8,,,,,-22.2635040283203125,-49.1363983154296875,anonymous,EN,A1DHL4XO3VT7TR,"img7	,img19	,img40	",488840
2019-05-05 20:20:50,2019-05-05 20:22:59,IP Address,63.159.177.54,100,129,True,2019-05-05 20:23:00,R_eLkUYzlWpAPfQ8F,,,,,41.713592529296875,-93.622100830078125,anonymous,EN,AAMDSYYL49DYC,"img4	,img16	,img21	",399120
