StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q3,Random ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your MTurk Worker ID in order to be paid.You may find your ID in the upper left corner of the MTurk web page.,Select the best three (3) images. Please wait for ALL images to load before selecting the best photos.,Random ID
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""Random ID""}"
5/5/19 18:41,5/5/19 18:42,IP Address,128.54.224.52,100,38,TRUE,5/5/19 18:42,R_1Y5kHwnu6syVCa5,,,,,32.84869385,-117.2767029,anonymous,EN,A1J0GDMZD9DI3P,"img20	,img21	,img29	",350135
5/5/19 18:51,5/5/19 18:53,IP Address,2.125.65.124,100,117,TRUE,5/5/19 18:53,R_UsX9EJo0CFvj4U9,,,,,54.56129456,-1.324295044,anonymous,EN,A2GREARJHXCC1S,"img6	,img27	,img34	",881984
5/5/19 19:27,5/5/19 19:27,IP Address,73.232.91.76,100,41,TRUE,5/5/19 19:27,R_1LdPtw0Tee5wfXt,,,,,29.65179443,-95.14640045,anonymous,EN,A5FUU339LEP25,"img7	,img24	,img42	",687524
5/5/19 19:29,5/5/19 19:30,IP Address,157.46.93.96,100,61,TRUE,5/5/19 19:30,R_3lLD0Du4lPutK8m,,,,,10.99099731,76.96670532,anonymous,EN,A1G4QDVYGHSQCY,"img19	,img28	,img43	",739285
5/5/19 19:31,5/5/19 19:33,IP Address,93.36.193.6,100,122,TRUE,5/5/19 19:33,R_2bVoOuSPJkutJdo,,,,,41.89039612,12.5124054,anonymous,EN,AHOHKLO0YSGNI,"img17	,img20	,img24	",330773
5/5/19 19:31,5/5/19 19:33,IP Address,85.49.162.219,100,169,TRUE,5/5/19 19:33,R_1i9ZIfQEsiZt64f,,,,,40.1907959,-3.678894043,anonymous,EN,A1EGQAMPW9N5FT,"img5	,img21	,img23	",850618
5/5/19 19:40,5/5/19 19:41,IP Address,47.148.181.73,100,77,TRUE,5/5/19 19:41,R_1mpZ96Yapq1td88,,,,,34.03489685,-117.6184998,anonymous,EN,AU04NHNF2WGMK,"img12	,img18	,img41	",276610
5/5/19 19:46,5/5/19 19:47,IP Address,68.105.155.118,100,70,TRUE,5/5/19 19:47,R_11hkc5hHqFfiGsf,,,,,30.2684021,-91.25240326,anonymous,EN,A2C9M2JGBQJ20K,"img2	,img4	,img9	",878628
5/5/19 19:47,5/5/19 19:49,IP Address,174.24.100.8,100,111,TRUE,5/5/19 19:49,R_BLqzAeInww3esff,,,,,38.94880676,-104.7677002,anonymous,EN,A234H47OKTBQ9C,"img19	,img27	,img44	",551644
5/5/19 19:47,5/5/19 19:49,IP Address,32.214.60.74,100,124,TRUE,5/5/19 19:49,R_28SND0BAPnlxPMz,,,,,41.92610168,-72.64579773,anonymous,EN,A2A0M5OST5WGY4,"img14	,img26	,img35	",278013
5/5/19 19:50,5/5/19 19:51,IP Address,99.234.201.146,100,57,TRUE,5/5/19 19:51,R_1DRX1cExVDM5NFz,,,,,43.76269531,-79.76059723,anonymous,EN,A1KVE1E8ZON2F7,"img18	,img31	,img43	",427677
5/5/19 19:51,5/5/19 19:54,IP Address,68.40.38.242,100,160,TRUE,5/5/19 19:54,R_1Cy9uz5ZXu5RQtk,,,,,42.21960449,-83.604599,anonymous,EN,A5E2P5F1AXYZ1,"img6	,img9	,img19	,img24	",180279
5/5/19 19:59,5/5/19 19:59,IP Address,64.134.68.72,100,31,TRUE,5/5/19 19:59,R_10xenPSkznnBy5r,,,,,47.89770508,-97.03939819,anonymous,EN,A1S7R2Z9GZJZ0Y,"img8	,img32	,img42	",847449
5/5/19 19:58,5/5/19 20:00,IP Address,179.235.0.126,100,126,TRUE,5/5/19 20:00,R_1Q4KNG0HbAL5522,,,,,-22.26350403,-49.13639832,anonymous,EN,A1DHL4XO3VT7TR,"img3	,img17	,img21	",564514
5/5/19 20:00,5/5/19 20:01,IP Address,73.51.198.48,100,48,TRUE,5/5/19 20:01,R_273WiwMg1itl27U,,,,,41.87190247,-87.6588974,anonymous,EN,A2P791EA88YGSV,"img12	,img25	,img27	",369957
