StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q3,Random ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your MTurk Worker ID in order to be paid.You may find your ID in the upper left corner of the MTurk web page.,Select the best three (3) images. Please wait for ALL images to load before selecting the best photos.,Random ID
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""Random ID""}"
5/5/19 17:51,5/5/19 17:52,IP Address,175.101.60.15,100,48,TRUE,5/5/19 17:52,R_3fId9PHb8yB6tKh,,,,,17.44779968,78.52630615,anonymous,EN,A2G5GGLXD2KSZS,"img36	,img47	,img56	",307581
5/5/19 17:51,5/5/19 17:52,IP Address,168.194.163.226,100,84,TRUE,5/5/19 17:52,R_3PdvM6BwZ50bxXB,,,,,-25.50259399,-49.29159546,anonymous,EN,A2SFJC5XDHT748,"img1 ,img31	,img55	",690025
5/5/19 17:51,5/5/19 17:52,IP Address,96.21.31.159,100,80,TRUE,5/5/19 17:52,R_O1MQByGf8BG5hnP,,,,,46.71670532,-71.26670074,anonymous,EN,A2WUAAO606AO9I,"img1 ,img21	,img44	",955821
5/5/19 17:51,5/5/19 17:53,IP Address,67.165.37.195,100,70,TRUE,5/5/19 17:53,R_0i9YVasMwfE2Ysp,,,,,40.26919556,-80.16110229,anonymous,EN,A35VA8NSI67Q8,"img17	,img28	,img37	",177714
5/5/19 18:02,5/5/19 18:04,IP Address,107.77.226.212,100,134,TRUE,5/5/19 18:04,R_4MgMabb5YAI7Dhv,,,,,40.7828064,-73.97450256,anonymous,EN,A28H08HUKIHSK3,"img32	,img66	,img70	",148114
5/5/19 18:19,5/5/19 18:20,IP Address,73.224.101.237,100,96,TRUE,5/5/19 18:20,R_3dLLvg6FIUnGoE7,,,,,30.12229919,-81.36270142,anonymous,EN,A21965OE2ECPPH,"img62	,img69	,img71	",345618
5/5/19 18:31,5/5/19 18:33,IP Address,174.206.5.105,100,109,TRUE,5/5/19 18:33,R_3eeSsqXdDlcNwJT,,,,,32.91889954,-96.77510071,anonymous,EN,A1NY4BKZLOB92H,"img5	,img65	,img72	",470075
5/5/19 18:42,5/5/19 18:43,IP Address,128.54.224.52,100,54,TRUE,5/5/19 18:43,R_3m8kiMZfv2Xk1Ho,,,,,32.84869385,-117.2767029,anonymous,EN,A1J0GDMZD9DI3P,"img29	,img45	,img69	",624357
5/5/19 19:13,5/5/19 19:14,IP Address,173.35.155.96,100,37,TRUE,5/5/19 19:14,R_3e2GskHJka6lEXU,,,,,46.09869385,-64.8035965,anonymous,EN,A31E261Q71LL28,"img2	,img3	,img72	",187703
5/5/19 19:23,5/5/19 19:24,IP Address,157.46.100.158,100,50,TRUE,5/5/19 19:24,R_2t363VWUkHMq4Ql,,,,,11.3500061,77.73330688,anonymous,EN,A1G4QDVYGHSQCY,"img35	,img70	,img71	",718478
5/5/19 19:25,5/5/19 19:26,IP Address,73.232.91.76,100,38,TRUE,5/5/19 19:26,R_uksJVWKk9Yi5L7X,,,,,29.65179443,-95.14640045,anonymous,EN,A5FUU339LEP25,"img17	,img21	,img58	",180420
